Tarefa,Empresa,Status,Dono,Prazo,Projeto sugerido (legado),Prioridade saudável,Movimento mínimo,Bloco,Esforço,Impacto,Notas,Origem,Retorno,Tipo de energia,Projeto
Postagem nova Sollu,Sollu,A fazer,Erick,,Marketing Sollu,Esta semana,"Definir produto, preço, entregavel e próximo passo da postagem",🎯 Foco Profundo,Médio,Alto,,Lembretes,Alto,Execução,Sollu — Tráfego & Presença Digital (https://www.notion.so/Sollu-Tr-fego-Presen-a-Digital-7e773fa6ae2682659c6c0166a79c7fb5?pvs=21)
Cancelar RD Station AMP + MANY e outros,AMP213,A fazer,Erick,,,Esta semana,Listar todas as assinaturas ativas que não estão sendo usadas e cancelar uma por uma,⚙️ Admin & Finanças,Baixo,Médio,,Lembretes,Alto,Admin,"BICA + AMP — Sistemas & Automação (https://www.notion.so/BICA-AMP-Sistemas-Automa-o-52208b9e970f486a979bb60a9002f695?pvs=21), BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)"
Definir meta mensal de novos clientes Sollu,Sollu,A fazer,Erick,,Estratégia Sollu,Esta semana,Decidir: quantos clientes novos por mês são viáveis sem comprometer qualidade,🎯 Foco Profundo,Baixo,Alto,,Claude,Alto,Decisão,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21)
Montar proposta comercial visual AMP 213,AMP213,A fazer,Gabriel + Erick,,Comercial AMP213,Esta semana,Erick aprova estrutura da proposta; Gabriel monta o documento,💼 Execução,Médio,Alto,,Claude,Alto,Execução,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21)
Nova carta de vinho — Bica,Bica Bar Sensorial,A fazer,Erick,,,Esta semana,Revisar carta atual e mapear o que precisa ser atualizado ou incluído,💼 Execução,Médio,Alto,,Lembretes,Alto,Foco profundo,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21)
Rodar DRE do último evento AMP 213,AMP213,A fazer,Erick,,Gestão Financeira AMP213,Hoje,Pegar recibos e pagamentos do último evento e calcular resultado líquido,⚙️ Admin & Finanças,Baixo,Alto,,Claude,Alto,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
"Pagar EMIVE PATRULHA 24H — R$ 446,05 (Bica)",Bica Bar Sensorial,A fazer,Erick,,,Hoje,Verificar vencimento 05/05 e processar pagamento EMIVE,⚙️ Admin & Finanças,Baixo,Alto,"Vencimento 05/05. R$ 446,05.",Google Tasks,Alto,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
Revisar formulário da equipe AMP213,AMP213,A fazer,Erick,,,Esta semana,Abrir formulário e listar o que precisa ajustar,💼 Execução,Baixo,Médio,,Lembretes,Médio,Admin,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21)
Revisar nova empresa Paulo — Sollu,Sollu,A fazer,Erick,,,Esta semana,Verificar o que foi combinado com Paulo sobre a nova empresa,💼 Execução,Médio,Alto,"Confirmar se Paulo é cliente, sócio ou fornecedor nesse contexto",Lembretes,Alto,Foco profundo,Sollu — Produto & Processos (https://www.notion.so/Sollu-Produto-Processos-395135174a814480bdbca76649ccfd92?pvs=21)
Ads Solutions — verificar campanhas,Sollu,A fazer,Erick,,,Esta semana,Abrir plataforma de anúncios e verificar performance das campanhas,⚙️ Admin & Finanças,Baixo,Médio,,Lembretes,Médio,Admin,Sollu — Tráfego & Presença Digital (https://www.notion.so/Sollu-Tr-fego-Presen-a-Digital-7e773fa6ae2682659c6c0166a79c7fb5?pvs=21)
Imposto de renda,Pessoal do Erick,A fazer,Erick,,,Esta semana,Reunir documentos e dar entrada na declaração,⚙️ Admin & Finanças,Médio,Alto,,Lembretes,Alto,Foco profundo,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)
Planejar e executar primeiro evento de experiência paga no Bica,Bica Bar Sensorial,A fazer,Erick,,Experiências Bica,Esta semana,"Escolher tema, data e preço do ingresso — Claude gera o planejamento completo",🎯 Foco Profundo,Alto,Alto,,Claude,Alto,Decisão,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21)
Campanha ADS Bica,Bica Bar Sensorial,A fazer,Erick,,Marketing Bica,Esta semana,Ativar campanha ou briefar Jade sobre o que postar e quando,🎯 Foco Profundo,Médio,Alto,,Lembretes,Alto,Execução,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21)
Decisão: precificação do Raio-X Sollu — valor fixo ou por perfil de cliente,Sollu,A fazer,Erick,,Produtização Sollu,Esta semana,Definir faixa de preço e lógica de variação — Claude estrutura tabela depois,🎯 Foco Profundo,Baixo,Alto,,Claude,Alto,Decisão,Sollu — Produto & Processos (https://www.notion.so/Sollu-Produto-Processos-395135174a814480bdbca76649ccfd92?pvs=21)
Pegar cadeiras para Concerto Bica — até quinta,Bica Bar Sensorial,A fazer,Erick,,,Hoje,Pegar cadeiras e reservar para o concerto,💼 Execução,Baixo,Médio,Prazo: até quinta-feira,Lembretes,Médio,Micro-movimento,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21)
Decisão: aceitar eventos corporativos no AMP 213? Com qual critério?,AMP213,A fazer,Erick,,Estratégia AMP213,Depois,"Erick define critérios mínimos: tipo de empresa, perfil, ticket mínimo",🎯 Foco Profundo,Baixo,Médio,,Claude,Médio,Decisão,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21)
Transferir milhas UAU,Pessoal do Erick,A fazer,Erick,,,Esta semana,Transferir milhas para o destino correto,⚙️ Admin & Finanças,Baixo,Médio,,Lembretes,Médio,Admin,Erick — Família & Casa (https://www.notion.so/Erick-Fam-lia-Casa-79c1712d65e246e4ab7cb4f688435edd?pvs=21)
Cobrança ASAAS + notificação — Sollu,Sollu,A fazer,Erick,,,Hoje,Abrir ASAAS e disparar cobranças pendentes,💼 Execução,Baixo,Alto,,Lembretes,Alto,Execução,Sollu — Financeiro (https://www.notion.so/Sollu-Financeiro-71904feeb0854b1082e3186d38b98303?pvs=21)
Levar camisas e aventais bordados AMP213,AMP213,A fazer,Erick,,,Esta semana,Separar e levar no próximo evento,💼 Execução,Baixo,Baixo,,Lembretes,Baixo,Micro-movimento,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21)
Criar calendário editorial de conteúdo Bica (Instagram),Bica Bar Sensorial,A fazer,Gabriel,,Marketing Bica,Esta semana,Gabriel monta calendário com temas por semana; Erick valida,🤝 Reunião/Gabriel,Baixo,Médio,,Claude,Médio,Execução,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21)
Enviar Jusbrasil Prefeito,Sollu,A fazer,Erick,,,Hoje,Localizar proposta e enviar para o Prefeito,📬 Comunicação & Ops,Baixo,Alto,,Lembretes,Alto,Execução,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21)
Criar calendário de capacidade AMP 213 para o semestre,AMP213,A fazer,Gabriel + Erick,,Operação AMP213,Esta semana,Mapear quantos eventos o espaço comporta por mês e quais datas já estão ocupadas,⚙️ Admin & Finanças,Baixo,Alto,,Claude,Alto,Admin,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21)
Decisão: modelo de onboarding Sollu — assíncrono (formulário) ou síncrono (reunião),Sollu,A fazer,Erick,,Processos Sollu,Esta semana,Erick define o modelo padrão — isso desbloqueia criação de fluxo e template,🎯 Foco Profundo,Baixo,Alto,,Claude,Alto,Decisão,Sollu — Produto & Processos (https://www.notion.so/Sollu-Produto-Processos-395135174a814480bdbca76649ccfd92?pvs=21)
Fazer DRE Bica,Bica Bar Sensorial,A fazer,Erick,,Gestão Financeira Bica,Esta semana,Levantar custos de insumos do último período e montar planilha,⚙️ Admin & Finanças,Alto,Alto,,Lembretes,Alto,Foco profundo,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
Marcar cirurgião vascular,Pessoal do Erick,A fazer,Erick,,,Esta semana,Marcar consulta com cirurgião vascular,📬 Comunicação & Ops,Baixo,Médio,,Lembretes,Alto,Micro-movimento,Erick — Saúde & Bem-estar (https://www.notion.so/Erick-Sa-de-Bem-estar-c93ecd69b3a441dbb75de27a7505a008?pvs=21)
Ver boletos Bica e AMP213,Bica Bar Sensorial,A fazer,Erick,,,Hoje,Abrir ASAAS ou banco e verificar boletos Bica + AMP pendentes,⚙️ Admin & Finanças,Baixo,Alto,,Lembretes,Alto,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
Documentar fluxo de atendimento Sollu — do lead ao encerramento,Sollu,A fazer,Gabriel + Erick,,Processos Sollu,Esta semana,Erick descreve em voz ou texto o que faz do primeiro contato ao encerramento,🤝 Reunião/Gabriel,Médio,Alto,,Claude,Alto,Execução,Sollu — Produto & Processos (https://www.notion.so/Sollu-Produto-Processos-395135174a814480bdbca76649ccfd92?pvs=21)
Relatório Aperol — Bica,Bica Bar Sensorial,A fazer,Erick,,,Esta semana,Analisar relatório do Aperol e extrair insights de venda,💼 Execução,Médio,Médio,,Lembretes,Médio,Foco profundo,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21)
"Decisão: definir canal de captação prioritário da Sollu (LinkedIn, Instagram ou WhatsApp)",Sollu,A fazer,Erick,,Captação Sollu,Esta semana,Erick escolhe 1 canal — Claude ajuda a montar estratégia específica,🎯 Foco Profundo,Baixo,Alto,,Claude,Alto,Decisão,Sollu — Tráfego & Presença Digital (https://www.notion.so/Sollu-Tr-fego-Presen-a-Digital-7e773fa6ae2682659c6c0166a79c7fb5?pvs=21)
Pagar cartão CEF VISA — vence 15/05,Pessoal do Erick,A fazer,Erick,,,Esta semana,Pagar cartão CEF VISA antes do dia 15/05,⚙️ Admin & Finanças,Baixo,Alto,Vencimento 15/05 — prazo: 13/05,Google Tasks,Alto,Admin,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)
Resolver transferência automática Santander,Pessoal do Erick,A fazer,Erick,,,Esta semana,Verificar conta e configurar transferência automática,⚙️ Admin & Finanças,Baixo,Médio,,Lembretes,Médio,Admin,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)
Criar roteiro de diagnóstico financeiro replicável (Raio-X Sollu),Sollu,A fazer,Erick,,Produtização Sollu,Esta semana,Gravar ou escrever o passo a passo que Erick faz hoje em um diagnóstico real,🎯 Foco Profundo,Alto,Alto,,Claude,Alto,Foco profundo,Sollu — Produto & Processos (https://www.notion.so/Sollu-Produto-Processos-395135174a814480bdbca76649ccfd92?pvs=21)
CMV — Custo de mercadoria vendida Bica,Bica Bar Sensorial,A fazer,Erick,,Gestão Financeira Bica,Esta semana,Levantar custos de insumos Bica e estruturar planilha de CMV,⚙️ Admin & Finanças,Alto,Alto,,Lembretes,Alto,Foco profundo,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21)
Divulgação clientes AMP213 — Zap Day Use,AMP213,A fazer,Erick,,,Esta semana,Montar lista de contatos e criar mensagem de divulgação,📬 Comunicação & Ops,Médio,Alto,,Lembretes,Alto,Execução,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21)
Alinhar com Gabriel: divisão de responsabilidades nos 3 negócios,Pessoal do Erick,A fazer,Gabriel + Erick,,Gestão de Pessoas,Esta semana,Reunião de 30min: Gabriel confirma o que assume em cada empresa agora,🤝 Reunião/Gabriel,Baixo,Alto,,Claude,Alto,Conversa,Erick — Governança Pessoal (https://www.notion.so/Erick-Governan-a-Pessoal-22fc8b8d0e3548ff821e5be42561dbc4?pvs=21)
Pagar plano de saúde,Pessoal do Erick,A fazer,Erick,,,Esta semana,Verificar vencimento e pagar plano,⚙️ Admin & Finanças,Baixo,Alto,,Lembretes,Alto,Admin,"Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21), Erick — Saúde & Bem-estar (https://www.notion.so/Erick-Sa-de-Bem-estar-c93ecd69b3a441dbb75de27a7505a008?pvs=21)"
Revisar site Sollu,Sollu,A fazer,Erick,,Presença Digital Sollu,Esta semana,Listar o que está desatualizado e definir responsavel pela revisão,🎯 Foco Profundo,Alto,Alto,,Lembretes,Alto,Foco profundo,Sollu — Tráfego & Presença Digital (https://www.notion.so/Sollu-Tr-fego-Presen-a-Digital-7e773fa6ae2682659c6c0166a79c7fb5?pvs=21)
Criar funil de captação Sollu (orgânico ou meta ads),Sollu,A fazer,Gabriel + Erick,,Captação Sollu,Depois,"Decidir canal prioritário (LinkedIn, Instagram ou WhatsApp) antes de montar funil",🎯 Foco Profundo,Alto,Alto,,Claude,Alto,Decisão,"Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21), Sollu — Tráfego & Presença Digital (https://www.notion.so/Sollu-Tr-fego-Presen-a-Digital-7e773fa6ae2682659c6c0166a79c7fb5?pvs=21)"
⚠️ Pagar cartões Nubank (Sollu + Pessoal) — vence 10/05,Pessoal do Erick,A fazer,Erick,,,Hoje,Pagar cartões Nubank Sollu + Pessoal antes do dia 10/05,⚙️ Admin & Finanças,Baixo,Alto,Vencimento 10/05 — prazo urgente,Google Tasks,Alto,Admin,"Sollu — Financeiro (https://www.notion.so/Sollu-Financeiro-71904feeb0854b1082e3186d38b98303?pvs=21), Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)"
"⚠️ Pagar CREDIX FINANCE SECURITIZADORA — R$ 1.569,33 (2 boletos)",Bica Bar Sensorial,A fazer,Erick,,,Hoje,"Verificar boletos: R$ 717,05 (venc. 30/04) + R$ 852,28 (venc. 04/05) — confirmar pagamento",⚙️ Admin & Finanças,Baixo,Alto,"Dois boletos: R$ 717,05 venc. 30/04 e R$ 852,28 venc. 04/05. Total: R$ 1.569,33.",Google Tasks,Alto,Admin,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21)
Vídeo Bica — Reels,Bica Bar Sensorial,A fazer,Erick,,Marketing Bica,Esta semana,Gravar ou briefar editor com conceito do vídeo,💼 Execução,Médio,Alto,,Lembretes,Alto,Execução,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21)
Consulta Dra. Fabiana — 17h,Pessoal do Erick,A fazer,Erick,,,Hoje,Confirmar horário com Dra. Fabiana,💼 Execução,Baixo,Médio,Consulta: 17h,Lembretes,Médio,Micro-movimento,Erick — Saúde & Bem-estar (https://www.notion.so/Erick-Sa-de-Bem-estar-c93ecd69b3a441dbb75de27a7505a008?pvs=21)
"Listar todas as obrigações financeiras mensais fixas (juros, boletos, folha)",Pessoal do Erick,A fazer,Erick,,Controle Financeiro Geral,Hoje,"Abrir planilha ou anotar: empresa, credor, valor, vencimento — sem deixar de fora nenhum",⚙️ Admin & Finanças,Baixo,Alto,,Claude,Alto,Admin,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21)
Revisar checklist abertura Bica,Bica Bar Sensorial,A fazer,Erick,,Operação Bica,Esta semana,Abrir checklist atual e revisar etapas críticas da abertura,💼 Execução,Médio,Alto,,Lembretes,Alto,Execução,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21)
Conferir clientes em prospecção — Sollu,Sollu,A fazer,Erick,,,Esta semana,Abrir pipeline e listar quem está em fase de fechamento,💼 Execução,Baixo,Alto,,Lembretes,Alto,Foco profundo,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21)
Rodar campanha ADS Bica,Bica Bar Sensorial,A fazer,Gabriel + Erick,,Marketing Bica,Esta semana,Definir objetivo da campanha e verba antes de subir,💼 Execução,Médio,Médio,,Claude,Médio,Execução,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21)
