Tarefa,Bloco,Dono,Empresa,Esforço,Impacto,Movimento mínimo,Notas,Origem,Prazo,Prioridade saudável,Projeto,Projeto sugerido (legado),Retorno,Status,Tipo de energia
Pagar Axel,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Alto,Verificar valor e processar pagamento Axel,,Lembretes,,Hoje,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21),,Alto,A fazer,Admin
Criar CRM de leads/prospects de eventos AMP 213 no Notion,🤝 Reunião/Gabriel,Gabriel,AMP213,Baixo,Alto,"Gabriel cria banco de dados com: nome, tipo de evento, data, valor estimado, status",,Claude,,Esta semana,BICA + AMP — Sistemas & Automação (https://www.notion.so/BICA-AMP-Sistemas-Automa-o-52208b9e970f486a979bb60a9002f695?pvs=21),Comercial AMP213,Alto,A fazer,Execução
Pagar cartão Recarga Pay — vence 16/05,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Alto,Pagar cartão Recarga Pay antes do dia 16/05,Vencimento 16/05 — prazo: 14/05,Google Tasks,,Esta semana,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21),,Alto,A fazer,Admin
Post TripAdvisor + Google — pedir depoimentos clientes Bica,📬 Comunicação & Ops,Erick,Bica Bar Sensorial,Baixo,Médio,Criar post simples pedindo avaliação no Google para clientes e amigos,,Lembretes,,Esta semana,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21),,Médio,A fazer,Micro-movimento
"Pagar IND DE BEB IGARASSU LTDA — R$ 372,77 (2 boletos)",⚙️ Admin & Finanças,Erick,Bica Bar Sensorial,Baixo,Alto,Verificar se já foi pago — dois boletos distintos,"Dois boletos: R$ 148,79 + R$ 223,98. Vencimento 28/04.",Google Tasks,,Hoje,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),,Alto,A fazer,Admin
Proposta Jusbrasil — Daniel Boiler,🎯 Foco Profundo,Erick,Sollu,Médio,Alto,Abrir conversa com Daniel Boiler e montar estrutura da proposta,,Lembretes,,Hoje,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21),Comercial Sollu,Alto,A fazer,Foco profundo
Verificar parcerias influenciadores — Bica,📬 Comunicação & Ops,Erick,Bica Bar Sensorial,Médio,Médio,Mapear quem são os influencers alvo e qual proposta fazer,,Lembretes,,Esta semana,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21),,Médio,A fazer,Foco profundo
Falar com Santo sobre Fruta Pão,📬 Comunicação & Ops,Erick,AMP213,Baixo,Médio,Ligar ou mandar mensagem para Santo hoje,,Lembretes,,Esta semana,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21),,Médio,A fazer,Conversa
Decidir: Bica Bar como bar oficial dos eventos AMP 213,🎯 Foco Profundo,Erick,Bica Bar Sensorial,Baixo,Alto,Erick decide se ativa essa sinergia e com qual modelo (incluso no pacote ou add-on),,Claude,,Esta semana,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21),Estratégia Bica + AMP213,Alto,A fazer,Decisão
Mapear cardápio Bica com custo por drink (CMV),⚙️ Admin & Finanças,Erick,Bica Bar Sensorial,Médio,Alto,Listar os 10 drinks mais vendidos e calcular custo de insumo de cada um,,Claude,,Esta semana,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21),Gestão Financeira Bica,Alto,A fazer,Admin
Saldo Google Ads — Bica,⚙️ Admin & Finanças,Erick,Bica Bar Sensorial,Baixo,Médio,Verificar saldo Google Ads e performance atual,,Lembretes,,Esta semana,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21),,Médio,A fazer,Admin
Analisar concorrência AMP213,🎯 Foco Profundo,Erick,AMP213,Médio,Médio,Listar 3 concorrentes diretos e um critério de comparação para começar,,Lembretes,,Depois,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21),,Médio,A fazer,Foco profundo
CMV — Custo de mercadoria vendida AMP213,🎯 Foco Profundo,Erick,AMP213,Alto,Alto,Levantar custos de insumos do último evento e montar planilha base,,Lembretes,,Esta semana,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),Gestão Financeira AMP213,Alto,A fazer,Foco profundo
Mapear pipeline atual de clientes Sollu e criar no Notion,🤝 Reunião/Gabriel,Gabriel + Erick,Sollu,Baixo,Alto,Listar todos os clientes ativos e leads quentes com status e próximo passo,,Claude,,Esta semana,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21),CRM Sollu,Alto,A fazer,Execução
Criar checklist de produção por tipo de evento AMP 213,💼 Execução,Gabriel + Erick,AMP213,Médio,Médio,"Erick descreve o que precisa acontecer antes, durante e depois de um casamento",,Claude,,Depois,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21),Processos AMP213,Alto,A fazer,Execução
Criar checklist de abertura e fechamento do Bica Bar,🤝 Reunião/Gabriel,Gabriel + Erick,Bica Bar Sensorial,Baixo,Médio,Erick descreve o que acontece na abertura — Gabriel formata como checklist no Notion,,Claude,,Depois,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21),Processos Bica,Médio,A fazer,Execução
Pagar Paulo,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Alto,Verificar valor combinado e processar pagamento para Paulo,,Lembretes,,Hoje,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21),,Alto,A fazer,Admin
Analisar avaliações Google + TripAdvisor — Bica,💼 Execução,Erick,Bica Bar Sensorial,Baixo,Médio,Abrir Google e TripAdvisor e responder avaliações pendentes,,Lembretes,,Esta semana,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21),,Médio,A fazer,Admin
Definir datas de ativações Bacardi no semestre — Bica Bar,🎯 Foco Profundo,Erick,Bica Bar Sensorial,Baixo,Alto,Conversar com contato Bacardi e fechar pelo menos 2 datas no semestre,,Claude,,Esta semana,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21),Parcerias Bica,Alto,A fazer,Decisão
Mensagem para Thaynan — alinhamento AMP213,📬 Comunicação & Ops,Erick,AMP213,Baixo,Alto,Mandar áudio ou mensagem com pauta específica para Thaynan,,Lembretes,,Hoje,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21),,Alto,A fazer,Micro-movimento
Criar automação de atendimento WhatsApp AMP213,🎯 Foco Profundo,Erick,AMP213,Alto,Alto,Definir ferramenta (Whascale já aparece na lista) e mapear fluxo básico de atendimento,,Lembretes,,Esta semana,BICA + AMP — Sistemas & Automação (https://www.notion.so/BICA-AMP-Sistemas-Automa-o-52208b9e970f486a979bb60a9002f695?pvs=21),Automação Operacional AMP213,Alto,A fazer,Foco profundo
Decoração com Drika — AMP213,📬 Comunicação & Ops,Erick,AMP213,Baixo,Médio,Confirmar data e escopo com Drika,,Lembretes,,Esta semana,AMP213 — Operação de Eventos (https://www.notion.so/AMP213-Opera-o-de-Eventos-05c73fa6ae26822388fe81c1f66ce78a?pvs=21),,Médio,A fazer,Conversa
Pagar cachaça de Jambu — Bica,⚙️ Admin & Finanças,Erick,Bica Bar Sensorial,Baixo,Alto,Verificar valor e processar pagamento,,Lembretes,,Hoje,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),,Alto,A fazer,Admin
Decisão: ticket mínimo por evento AMP 213 — definir piso comercial,🎯 Foco Profundo,Erick,AMP213,Baixo,Alto,Definir o valor mínimo abaixo do qual nenhum evento é aceito,,Claude,,Esta semana,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21),Comercial AMP213,Alto,A fazer,Decisão
"Pagar NORSA REFRIGERANTES — R$ 45,69",⚙️ Admin & Finanças,Erick,Bica Bar Sensorial,Baixo,Alto,Verificar se já foi pago ou processar agora,Vencimento 28/04 — verificar se está em atraso,Google Tasks,,Hoje,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),,Alto,A fazer,Admin
Documentar conceito sensorial do Bica em texto oficial de marca,🎯 Foco Profundo,Erick,Bica Bar Sensorial,Médio,Alto,Erick descreve em voz ou texto o que é a experiência sensorial do Bica — Claude transforma em documento,,Claude,,Esta semana,Bica — Marketing & Conteúdo (https://www.notion.so/Bica-Marketing-Conte-do-45673fa6ae26834eb070813455a1af6b?pvs=21),Identidade Bica,Alto,A fazer,Foco profundo
Criar FORM de melhorias Bica — equipe,🎯 Foco Profundo,Erick,Bica Bar Sensorial,Médio,Alto,Criar formulário simples com 3-5 perguntas de melhoria e enviar para equipe,,Lembretes,,Esta semana,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21),,Alto,A fazer,Execução
Revisar proposta AMP213,💼 Execução,Erick,AMP213,Médio,Alto,Abrir proposta e identificar o que falta para fechar,,Lembretes,,Esta semana,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21),,Alto,A fazer,Foco profundo
Lembrar de Arinaldo — Sollu,💼 Execução,Erick,Sollu,Baixo,Médio,Verificar o que precisa lembrar de Arinaldo e agir,Contexto não especificado — confirmar pauta,Lembretes,,Esta semana,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21),,Médio,A fazer,Micro-movimento
Pagar EMIVE — pessoal,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Alto,Verificar vencimento e processar pagamento,,Lembretes,,Hoje,Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21),,Alto,A fazer,Admin
Levantamento de faturamento fim de semana — Bica,⚙️ Admin & Finanças,Erick,Bica Bar Sensorial,Baixo,Alto,Acessar planilha ou caixa e somar faturamento de sáb + dom,,Lembretes,,Hoje,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),,Alto,A fazer,Admin
Revisar e atualizar site Sollu com novo posicionamento,💼 Execução,Gabriel + Erick,Sollu,Médio,Médio,Erick aprova texto de posicionamento que o Claude gera com base no DNA da empresa,,Claude,,Depois,Sollu — Tráfego & Presença Digital (https://www.notion.so/Sollu-Tr-fego-Presen-a-Digital-7e773fa6ae2682659c6c0166a79c7fb5?pvs=21),Presença Digital Sollu,Médio,A fazer,Execução
"Pedidos de bebidas — Bica Bar (BEE, AMBEV, VINHOS, DESTILADOS, COCA, HEINEKEN)",💼 Execução,Erick,Bica Bar Sensorial,Baixo,Alto,Listar fornecedores e mandar pedidos hoje,,Lembretes,,Hoje,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21),Operação Bica,Alto,A fazer,Execução
Backup vídeos + organizar fotos,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Médio,Médio,Fazer backup dos vídeos e organizar pastas de fotos,,Lembretes,,Depois,Erick — Governança Pessoal (https://www.notion.so/Erick-Governan-a-Pessoal-22fc8b8d0e3548ff821e5be42561dbc4?pvs=21),,Baixo,A fazer,Admin
Definir escopo e preço de cada serviço Sollu (portfólio fechado),🎯 Foco Profundo,Erick,Sollu,Médio,Alto,Listar os 5 serviços principais e colocar preço mínimo e máximo em cada um,,Claude,,Esta semana,Sollu — Produto & Processos (https://www.notion.so/Sollu-Produto-Processos-395135174a814480bdbca76649ccfd92?pvs=21),Produtização Sollu,Alto,A fazer,Decisão
"Criar 3 pacotes fechados AMP 213 (Casamento, Aniversário, Corporativo)",🎯 Foco Profundo,Erick,AMP213,Médio,Alto,Definir o que está incluso e o preço base de cada pacote,,Claude,,Esta semana,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21),Comercial AMP213,Alto,A fazer,Decisão
Pagar EMIVE — Segurança Eletrônica Bica,⚙️ Admin & Finanças,Erick,Bica Bar Sensorial,Baixo,Alto,Verificar vencimento e processar pagamento,,Lembretes,,Hoje,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),,Alto,A fazer,Admin
"Mapear e fechar parceiros fixos AMP 213 (decoração, foto/vídeo, DJ, bolo)",📬 Comunicação & Ops,Erick,AMP213,Médio,Médio,Listar quem já foi parceiro e avaliar quais manter como fixos,,Claude,,Depois,BICA + AMP — Comercial & Parcerias (https://www.notion.so/BICA-AMP-Comercial-Parcerias-c0d85e0617e14ccda960f7ce9499fb70?pvs=21),Operação AMP213,Médio,A fazer,Conversa
⚠️ URGENTE — Pagar mínimo fatura cartão AMP (atrasado desde 15/04),⚙️ Admin & Finanças,Erick,AMP213,Baixo,Alto,"Acessar cartão AMP e pagar valor mínimo R$ 3.051,53 IMEDIATAMENTE — já atrasado desde 15/04","ATRASO DESDE 15/04/2026. Valor mínimo R$ 3.051,53. Juros correndo.",Google Tasks,,Hoje,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),,Alto,A fazer,Admin
Lana — Nova conta em outro banco AMP213,⚙️ Admin & Finanças,Erick,AMP213,Médio,Alto,Confirmar com Lana qual banco e quais documentos são necessários,,Lembretes,,Esta semana,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),,Alto,A fazer,Admin
Mensagem bom dia para clientes Sollu,📬 Comunicação & Ops,Erick,Sollu,Baixo,Médio,Definir o que precisa comunicar e mandar hoje,,Lembretes,,Hoje,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21),,Médio,A fazer,Micro-movimento
Criar documento com senhas e acessos críticos dos negócios (cofre digital),⚙️ Admin & Finanças,Erick,Pessoal do Erick,Baixo,Médio,Listar sistemas críticos e guardar acessos em local seguro (ex: Notion privado ou password manager),,Claude,,Depois,Erick — Governança Pessoal (https://www.notion.so/Erick-Governan-a-Pessoal-22fc8b8d0e3548ff821e5be42561dbc4?pvs=21),Segurança Operacional,Médio,A fazer,Admin
Comunicado Bica — final de expediente,📬 Comunicação & Ops,Erick,Bica Bar Sensorial,Baixo,Alto,Redigir comunicado e enviar para equipe,,Lembretes,,Esta semana,Bica — Operação Sensorial (https://www.notion.so/Bica-Opera-o-Sensorial-e280a440ee5c46c3976341c3b14ed4e3?pvs=21),,Alto,A fazer,Execução
Lembrar de Edson e Lázaro — Sollu,💼 Execução,Erick,Sollu,Baixo,Médio,Lembrar de Edson e Lázaro — verificar o que está pendente com cada um,Edson também aparece com relatório/GPT — confirmar se são clientes ou fornecedores,Lembretes,,Esta semana,Sollu — Vendas (https://www.notion.so/Sollu-Vendas-dbb73fa6ae268334af708184abda6eb6?pvs=21),,Médio,A fazer,Micro-movimento
Revisar assinaturas geral — pessoal + empresas,⚙️ Admin & Finanças,Erick,Pessoal do Erick,Médio,Alto,Abrir plataforma e mapear todas as assinaturas ativas + custos,,Lembretes,,Esta semana,"Erick — Vida Financeira (https://www.notion.so/Erick-Vida-Financeira-49073fa6ae268277814581fa3da1c116?pvs=21), BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21), Sollu — Financeiro (https://www.notion.so/Sollu-Financeiro-71904feeb0854b1082e3186d38b98303?pvs=21)",,Alto,A fazer,Admin
"Pagar MEGA WINE COMÉRCIO DE VINHOS — R$ 298,80",⚙️ Admin & Finanças,Erick,Bica Bar Sensorial,Baixo,Alto,Verificar se já foi pago ou processar pagamento,"Vencimento 30/04. Valor R$ 298,80.",Google Tasks,,Hoje,BICA + AMP — Financeiro (https://www.notion.so/BICA-AMP-Financeiro-23273fa6ae268370ba2201ae216211cc?pvs=21),,Alto,A fazer,Admin
,,,,,,,,,,,,,,,
